id,username,gender,age,province,city,education,height,weight,race,least_age,most_age,least_height,most_height,aim_race,aim_education,aim_marriage,aim_home
13818896,飛龍電子,M,39,辽宁,沈阳,本科,180,0,--,20,28,160,172,不限,不限,不限,不限
13819560,张竟,M,35,河北,衡水,本科,177,0,汉,20,50,150,180,不限,不限,不限,不限
13819714,Figueroa,M,37,北京,房山,大专,175,155,汉,20,28,150,170,不限,不限,不限,不限
13819870,天乐阿子,M,36,湖南,长沙,本科,177,75,汉,20,26,158,172,不限,大专或以上,未婚,不限
13820781,万三千,M,39,湖北,荆门,大专,168,0,--,28,37,150,155,不限,不限,不限,不限
13821552,冰儿,M,34,湖北,荆州,硕士,175,0,--,18,30,130,200,不限,不限,不限,不限
13822392,生命中有你,M,37,山东,德州,大专,172,0,汉,21,28,150,167,不限,大专,不限,不限
13823537,花之雨,F,37,湖南,湘西,本科,161,0,--,30,45,168,178,不限,本科或以上,不限,不限
13824359,往事随风,M,41,黑龙江,哈尔滨,大专,180,75,汉,32,41,160,175,不限,不限,未婚、离异,不限
13825020,灰灰,M,38,广东,深圳,本科,168,70,汉,25,29,158,163,不限,大专或以上,未婚,不限
13826793,蓝色的缘分,M,34,浙江,金华,高中中专及以下,172,56,--,20,24,155,160,不限,不限,未婚,不限
13827078,无音不全,M,32,辽宁,鞍山,本科,187,80,汉,18,23,168,175,不限,本科,未婚,不限
13828092,真我,M,39,吉林,长春,大专,175,0,--,23,30,150,170,不限,不限,未婚,不限
13830689,永恒的歌,F,37,上海,静安,本科,158,0,--,20,50,160,190,不限,不限,不限,不限
13831784,冬季阳光,M,45,甘肃,张掖,大专,170,70,汉,30,36,158,174,不限,不限,不限,不限
13831607,寒山,M,48,四川,乐山,高中中专及以下,178,0,--,20,50,150,180,不限,不限,不限,不限
13832556,宝宝,F,34,江苏,苏州,大专,168,0,--,20,50,160,190,不限,不限,不限,不限
13833670,白开心,M,34,内蒙古,包头,大专,176,0,--,20,50,150,180,不限,不限,不限,不限
13834418,tim,M,37,广东,东莞,本科,175,0,--,20,50,150,180,不限,不限,不限,不限
13838178,じ☆缘oヤ,M,30,黑龙江,哈尔滨,本科,172,0,--,20,50,150,180,不限,不限,不限,不限
13839423,笑笑,F,30,湖北,武汉,本科,170,56,汉,30,,178,185,不限,硕士,未婚,星级会员 
13840828,QQ爱,M,37,江苏,无锡,高中中专及以下,175,0,--,25,30,150,170,不限,不限,不限,不限
13843379,大山,M,34,江苏,南京,本科,173,61,汉,18,24,165,170,不限,大专或以上,未婚,不限
13843527,1234,M,35,广东,佛山,高中中专及以下,165,0,--,20,50,150,180,不限,不限,离异,星级会员 
13844360,永远有多远,F,38,江苏,南通,大专,162,0,汉,29,40,170,190,不限,不限,不限,不限
13844595,搁浅,M,33,北京,朝阳,本科,184,0,--,18,24,150,179,不限,不限,不限,不限
13844696,我心飞扬,F,39,广东,中山,大专,161,0,--,20,50,160,190,不限,不限,不限,不限
13845117,龙的传人,M,43,广东,广州,硕士,178,0,--,24,34,160,173,不限,博士后,未婚,不限
13845803,ALLEN,M,38,上海,闵行,本科,175,65,汉,25,30,160,170,不限,大专或以上,未婚,不限
13846959,crc,M,30,辽宁,大连,大专,172,0,--,20,50,150,180,不限,不限,不限,不限
13847487,aycj,M,42,河南,安阳,大专,170,0,--,20,50,150,180,不限,不限,不限,不限
13847988,34534,F,31,广东,肇庆,高中中专及以下,174,0,--,20,50,160,190,不限,不限,不限,不限
13849399,jacques tong,M,35,浙江,杭州,本科,170,65,汉,20,50,150,180,不限,不限,不限,不限
13852219,不知道,F,34,山东,青岛,高中中专及以下,163,0,汉,28,38,173,180,不限,不限,未婚,不限
13852901,taolesi,F,35,天津,河东,本科,160,48,--,20,50,160,190,不限,不限,不限,不限
13855044,红梅花开~,F,46,黑龙江,哈尔滨,本科,165,0,--,37,50,170,190,不限,不限,不限,不限
13855548,zhujiang好拽,M,33,湖北,武汉,大专,175,0,--,20,50,150,180,不限,不限,不限,不限
13856898,为梦而眠,M,36,广西,桂林,高中中专及以下,168,120,壮,20,30,150,180,不限,不限,不限,不限
13857494,#冰雪无情#人间有爱#,M,30,广东,佛山,高中中专及以下,170,60,汉,18,21,150,165,不限,不限,未婚,不限
13857649,影子,F,34,广东,深圳,本科,155,0,--,25,30,170,175,不限,本科,未婚,不限
13858674,跟你学聊天,M,45,山东,枣庄,大专,168,0,--,25,35,155,163,不限,不限,不限,不限
13861057,♡寻觅♡,F,36,湖北,武汉,大专,165,50,--,28,35,170,180,不限,不限,不限,不限
13863175,海海不风流,M,31,浙江,绍兴,高中中专及以下,177,0,--,18,22,165,172,不限,高中中专及以下,未婚,不限
13863403,tina,F,35,北京,朝阳,硕士,168,0,汉,27,33,176,186,不限,硕士或以上,未婚,不限
13863970,天舞,F,37,安徽,安庆,本科,165,0,--,28,35,170,185,不限,大专,未婚,不限
13865639,Mr.Cubs,M,33,湖南,邵阳,大专,180,75,汉,20,25,160,170,不限,不限,未婚,不限
13867569,萍萍,F,36,浙江,台州,大专,158,0,--,30,36,170,175,不限,大专或以上,不限,不限
13866764,（想家的人）,M,33,广东,东莞,大专,168,0,--,20,24,163,166,不限,高中中专及以下,未婚,不限
13868255,海笑,M,36,北京,海淀,大专,180,0,--,20,30,160,175,不限,不限,未婚,不限
13869190,SUIYUAN,M,36,浙江,宁波,本科,172,0,--,20,27,157,167,不限,大专或以上,未婚,不限
